GEOID,hosp_since_nov_1
54220,28
53149,20
53204,19
53051,18
54476,18
54455,17
53209,17
53110,17
53151,16
53215,16
54935,16
53188,16
53081,16
54449,15
54016,15
53208,14
54729,14
54403,14
53216,14
53186,14
53189,14
53150,13
54017,13
53402,13
53218,13
53095,13
54115,13
54313,12
53219,12
53154,12
54303,12
53228,12
53538,11
53210,11
54751,11
53212,11
53206,11
54494,11
53029,11
54703,10
54401,10
53916,10
53214,10
53129,10
54552,10
53014,10
53406,10
54601,9
53072,9
53965,9
53221,9
53042,9
54952,9
53222,9
53105,9
53066,9
54901,9
54937,9
54603,8
53511,8
54843,8
54650,8
54311,8
54241,8
53217,8
53227,8
53226,8
54025,7
53566,7
53211,7
53090,7
54902,7
54634,7
54456,7
53223,7
53913,7
53581,7
53220,7
54636,7
53590,7
53551,7
53520,7
53225,7
53027,7
54812,6
54501,6
54481,6
54011,6
53545,6
53546,6
53235,6
53403,6
54806,6
54301,6
53190,6
54409,6
53704,6
53224,6
53172,6
53132,6
53032,6
54302,6
53948,6
53549,6
53405,6
53207,6
53121,6
53083,6
54725,5
54656,5
54304,5
53098,5
54904,5
54880,5
54824,5
54771,5
54665,5
54555,5
54216,5
54022,5
53404,5
53142,5
53094,5
53022,5
54981,5
54956,5
54873,5
54467,5
53185,5
53005,5
54421,5
54020,5
53716,5
53202,5
53146,5
54868,4
54911,4
54891,4
54701,4
54495,4
53959,4
53949,4
53925,4
53126,4
53037,4
54871,4
54853,4
54667,4
54230,4
54005,4
53932,4
53956,4
53562,4
53184,4
53119,4
53012,4
54669,4
54736,4
54615,4
54521,4
54426,4
54143,4
53074,4
54923,4
54915,4
54548,4
54235,4
54001,4
53597,4
53548,4
53144,4
53089,4
53085,4
54941,3
54412,3
54162,3
54129,3
53963,3
53923,3
53530,3
53504,3
53213,3
53158,3
53070,3
54971,3
54847,3
54655,3
54452,3
54166,3
54136,3
54024,3
53955,3
53578,3
53182,3
53143,3
53039,3
53050,3
53061,3
53017,3
53024,3
53010,3
54961,3
54724,3
54520,3
54487,3
54130,3
54121,3
53910,3
53718,3
53714,3
53130,3
53103,3
53045,3
53021,3
54944,3
54867,3
54872,3
54837,3
54757,3
54727,3
54942,2
54963,2
54889,2
54929,2
54913,2
54773,2
54801,2
54768,2
54745,2
54739,2
54229,2
54128,2
54104,2
54013,2
54004,2
53950,2
53922,2
53934,2
53933,2
53711,2
53573,2
53586,2
53153,2
53073,2
53019,2
53034,2
54932,2
54859,2
54840,2
54829,2
54810,2
54732,2
54666,2
54660,2
54537,2
54482,2
54451,2
54471,2
54154,2
53941,2
53919,2
53821,2
53818,2
53809,2
53575,2
53534,2
53525,2
53508,2
53104,2
53128,2
53063,2
53035,2
53036,2
54914,2
54755,2
54895,2
54514,2
54436,2
54437,2
54205,2
54157,2
54021,2
54028,2
53806,2
53813,2
53555,2
53523,2
53086,2
53044,2
53049,2
53001,2
53007,2
54922,2
54921,2
54838,2
54819,2
54770,2
54720,2
54489,2
54411,2
54180,2
54140,2
54114,2
54015,2
54014,2
53946,2
53930,2
53929,2
53805,2
53589,2
53115,2
54984,1
54943,1
54947,1
54948,1
54949,1
54856,1
54858,1
54909,1
54845,1
54748,1
54761,1
54670,1
54726,1
54738,1
54730,1
54638,1
54629,1
54626,1
54463,1
54425,1
54446,1
54443,1
54410,1
54245,1
54161,1
54165,1
54151,1
54119,1
54113,1
54002,1
53954,1
53801,1
53803,1
53598,1
53705,1
53588,1
53565,1
53570,1
53532,1
53205,1
53137,1
53097,1
53058,1
53013,1
54986,1
54870,1
54821,1
54758,1
54754,1
54750,1
54721,1
54722,1
54731,1
54734,1
54635,1
54632,1
54644,1
54566,1
54568,1
54546,1
54541,1
54539,1
54538,1
54529,1
54457,1
54473,1
54466,1
54427,1
54405,1
54416,1
54247,1
54173,1
54174,1
54175,1
54155,1
54139,1
54228,1
54009,1
54007,1
53952,1
53960,1
53926,1
53901,1
53804,1
53811,1
53572,1
53563,1
53550,1
53533,1
53191,1
53140,1
53040,1
53059,1
54756,1
54876,1
54733,1
54746,1
54639,1
54630,1
54627,1
54531,1
54534,1
54530,1
54488,1
54422,1
54209,1
54177,1
54156,1
54159,1
54023,1
54101,1
53807,1
53827,1
53594,1
53510,1
53531,1
53522,1
53233,1
53183,1
53118,1
53065,1
53015,1
54896,1
54848,1
54772,1
54747,1
54737,1
54658,1
54651,1
54631,1
54619,1
54554,1
54486,1
54498,1
54499,1
54460,1
54435,1
54433,1
54420,1
54170,1
54126,1
54107,1
54110,1
53935,1
53717,1
53713,1
53558,1
53559,1
53528,1
53527,1
53203,1
53177,1
53181,1
53156,1
53120,1
53114,1
53092,1
53080,1
53018,1
53006,1
54983,0
54977,0
54965,0
54974,0
54967,0
54940,0
54950,0
54962,0
54888,0
54928,0
54835,0
54814,0
54836,0
54842,0
54841,0
54850,0
54855,0
54813,0
54805,0
54769,0
54728,0
54646,0
54645,0
54637,0
54648,0
54625,0
54624,0
54557,0
54462,0
54470,0
54480,0
54479,0
54423,0
54408,0
54413,0
54414,0
54211,0
54208,0
54212,0
54210,0
54150,0
54127,0
54106,0
54027,0
54003,0
53920,0
53924,0
53802,0
53944,0
53792,0
53599,0
53702,0
53706,0
53703,0
53574,0
53554,0
53553,0
53569,0
53529,0
53295,0
53505,0
53517,0
53507,0
53521,0
53506,0
53516,0
53167,0
53122,0
53125,0
53057,0
53002,0
53004,0
53020,0
54979,0
54970,0
54980,0
54933,0
54934,0
54875,0
54862,0
54864,0
54854,0
54846,0
54826,0
54830,0
54828,0
54765,0
54762,0
54759,0
54767,0
54766,0
54763,0
54760,0
54749,0
54664,0
54659,0
54642,0
54641,0
54621,0
54643,0
54623,0
54550,0
54556,0
54563,0
54562,0
54536,0
54484,0
54450,0
54458,0
54475,0
54474,0
54417,0
54246,0
54169,0
54138,0
54103,0
54102,0
54234,0
54227,0
54201,0
54204,0
54006,0
53969,0
53936,0
53939,0
53947,0
53943,0
53951,0
53911,0
53820,0
53826,0
53587,0
53808,0
53585,0
53583,0
53577,0
53571,0
53560,0
53543,0
53536,0
53541,0
53192,0
53178,0
53108,0
53093,0
53047,0
53048,0
53076,0
53078,0
53079,0
53016,0
53011,0
53003,0
54982,0
54968,0
54964,0
54966,0
54960,0
54945,0
54946,0
54893,0
54927,0
54874,0
54723,0
54657,0
54654,0
54628,0
54622,0
54613,0
54616,0
54524,0
54526,0
54525,0
54527,0
54547,0
54542,0
54493,0
54519,0
54517,0
54515,0
54469,0
54485,0
54440,0
54465,0
54418,0
54207,0
54135,0
54137,0
54149,0
54123,0
54112,0
54124,0
54125,0
54111,0
53964,0
54010,0
53961,0
54082,0
53726,0
53719,0
53715,0
53825,0
53810,0
53561,0
53579,0
53593,0
53557,0
53544,0
53556,0
53526,0
53502,0
53503,0
53515,0
53170,0
53168,0
53088,0
53033,0
53046,0
53023,0
54985,0
54931,0
54930,0
54865,0
54857,0
54861,0
54849,0
54827,0
54832,0
54844,0
54839,0
54822,0
54817,0
54820,0
54742,0
54741,0
54740,0
54653,0
54652,0
54661,0
54618,0
54611,0
54610,0
54612,0
54564,0
54614,0
54559,0
54560,0
54565,0
54561,0
54540,0
54545,0
54512,0
54511,0
54513,0
54491,0
54490,0
54459,0
54454,0
54447,0
54448,0
54442,0
54441,0
54428,0
54430,0
54307,0
54407,0
54406,0
54424,0
54232,0
54213,0
54214,0
54202,0
54171,0
54160,0
54153,0
54141,0
54026,0
54120,0
53968,0
53953,0
53931,0
53937,0
53816,0
53928,0
53817,0
53580,0
53576,0
53582,0
53540,0
53537,0
53518,0
53501,0
53179,0
53195,0
53147,0
53139,0
